    0,    0,    0,
 2202,  259,  259,
 1468,  259,  259,
 1861,  227,  227,
 2962,  148,  148,
 3343,  116,  116,
 3596,   95,   95,
 3799, 1326,   78,
 3980, 1070,   63,
 4096,  834,   49,
 4150,  606,   36,
 4166,  385,   23,
 4155,  178,   10,
 4125,    7,    0,
 4082,    0,    0,
 4029,    0,    0,
 3962,    0,    0,
  259, 2202,  259,
 2202, 2202,  259,
 1468, 2202,  259,
 1861, 1930,  227,
 2962, 1256,  148,
 3343,  989,  116,
 3596,  811,   95,
 3799,  663,   78,
 3980,  535,   63,
 4096,  417,   49,
 4150,  303,   36,
 4166,  193,   23,
 4155,   89,   10,
 4125,    3,    7,
 4082,    0,    0,
 4029,    0,    0,
 3962,    0,    0,
  259, 1468,  259,
 2202, 1468,  259,
 1468, 1468,  259,
 1861, 1287,  227,
 2962,  837,  148,
 3343,  659,  116,
 3596,  541,   95,
 3799,  442,   78,
 3980,  357,   63,
 4096,  278,   49,
 4150,  202,   36,
 4166,  128,   23,
 4155,   59,   10,
 4125,    2,    7,
 4082,    0,    0,
 4029,    0,    0,
 3962,    0,    0,
  210, 1864,  439,
 1785, 1864,  439,
 1190, 1864,  439,
 1755, 1799,  423,
 2959, 1546,  364,
 3341, 1398,  329,
 3594, 1295,  305,
 3798, 1209,  285,
 3979, 1133,  267,
 4095, 1061, 4246,
 4150,  991, 3964,
 4165,  923, 3692,
 4154,  856, 3426,
 4125,  794, 3176,
 4082,  751, 3004,
 4029,  708, 2833,
 3962,  673, 2694,
  109, 2959,  870,
  926, 2959,  870,
  618, 2959,  870,
 1403, 2958,  870,
 2889, 2938,  864,
 3335, 2835,  834,
 3590, 2721,  800,
 3795, 2627,  773,
 3976, 2545,  748,
 4093, 2466,12329,
 4148, 2390,11950,
 4164, 2316,11582,
 4154, 2245,11224,
 4124, 2173,10864,
 4081, 2102,10510,
 4028, 2031,10156,
 3962, 1972, 9858,
 1279, 3336, 1177,
  639, 3336, 1177,
  426, 3336, 1177,
 1223, 3336, 1177,
 2697, 3333, 1176,
 3267, 3328,19970,
 3585, 3274,19643,
 3791, 3180,19077,
 3973, 3098,18590,
 4091, 3022,18130,
 4147, 2948,17690,
 4163, 2879,17274,
 4153, 2811,16863,
 4123, 2744,16465,
 4081, 2677,16065,
 4028, 2610,15660,
 3961, 2552,15311,
  865, 3587, 1477,
  433, 3587, 1477,
  288, 3587, 1477,
 1093, 3586, 1477,
 2546, 3584, 1476,
 3120, 3583,25079,
 3512, 3583,25079,
 3787, 3557,24899,
 3970, 3477,24339,
 4089, 3403,23823,
 4145, 3334,23337,
 4162, 3266,22863,
 4152, 3201,22406,
 4123, 3138,21964,
 4080, 3074,21520,
 4027, 3013,21088,
 3961, 2956,20692,
  490, 3789, 1783,
  245, 3789,30316,
  163, 3789,30316,
  975, 3789,30313,
 2417, 3788,30303,
 2994, 3787,30293,
 3388, 3785,30279,
 3706, 3785,30278,
 3966, 3782,30256,
 4086, 3711,29685,
 4143, 3643,29144,
 4160, 3578,28626,
 4151, 3516,28130,
 4122, 3455,27638,
 4079, 3396,27166,
 4027, 3334,26675,
 3961, 3279,26234,
  124, 3969, 2101,
   62, 3969,35725,
   41, 3969,35725,
  862, 3969,35724,
 2300, 3968,35714,
 2882, 3967,35702,
 3280, 3966,35692,
 3600, 3964,35677,
 3880, 3965,35681,
 4083, 3978,35800,
 4141, 3914,35226,
 4158, 3852,34672,
 4149, 3791,34121,
 4121, 3733,33597,
 4079, 3675,33075,
 4026, 3618,32565,
 3960, 3561,32047,
    0, 4086,40859,
    0, 4086,40859,
    0, 4086,40859,
  779, 4086,40858,
 2185, 4085,40852,
 2775, 4084,40844,
 3178, 4083,40834,
 3502, 4082,40824,
 3784, 4081,40810,
 4006, 4086,40861,
 4138, 4103,41033,
 4156, 4052,40519,
 4147, 4002,40017,
 4119, 3952,39518,
 4077, 3903,39028,
 4025, 3853,38531,
 3959, 3801,38013,
    0, 4141,45556,
    0, 4141,45556,
    0, 4141,45556,
  708, 4141,45555,
 2073, 4141,45549,
 2671, 4140,45543,
