    0,    0,    0,
 1270,   73,   73,
 1776,  129,  129,
 2039,  193,  193,
 2212,  248,  248,
 2343,  289,  289,
 2457,  322,  322,
 2564, 6370,  375,
 2660, 7426,  437,
 2744, 8492,  500,
 2816, 9571,  563,
 2876,10642,  626,
 2924,11694,  688,
 2958,12706,  747,
 2980,13687,  805,
 2990,14627,  860,
 2988,  914,  914,
   61, 1918,  226,
 1623, 2153,  253,
 1908, 2506,  295,
 2129, 2989,  352,
 2277, 3450,  406,
 2393, 3855,  454,
 2500, 4234,  498,
 2604, 4707,  554,
 2698, 5212,  613,
 2781, 5710,  672,
 2852, 6206,  730,
 2909, 6689,  787,
 2952, 7166,  843,
 2983, 7633,15265,
 3002, 8093,16187,
 3009, 8539,17079,
 3006, 8971,17942,
  133, 2487,  439,
 2216, 2641,  466,
 2200, 2817,  497,
 2255, 3025,  534,
 2359, 3306,  583,
 2461, 3591,  634,
 2559, 3868,  683,
 2658, 4180,  738,
 2748, 4497,  794,
 2826, 4803,  848,
 2890, 5106,  901,
 2942, 5407,  954,
 2981, 5707, 1007,
 3009, 6003,18008,
 3026, 6295,18886,
 3031, 6580,19741,
 3027, 6860,20579,
  202, 2819,  663,
 2744, 2934,  690,
 2546, 3055,  719,
 2484, 3192,  751,
 2484, 3335,  785,
 2536, 3510,  826,
 2625, 3724,  876,
 2717, 3948,  929,
 2799, 4166,  980,
 2870, 4384,17535,
 2929, 4599,18396,
 2977, 4814,19257,
 3014, 5029,20115,
 3039, 5241,20966,
 3054, 5452,21809,
 3058, 5661,22646,
 3054, 5867,23467,
  245, 3060,  900,
 3128, 3152,  927,
 2837, 3240,  953,
 2721, 3337,  981,
 2669, 3442, 1012,
 2662, 3543, 1042,
 2697, 3664, 1078,
 2774, 3834, 1128,
 2848, 4007, 1178,
 2914, 4178,20891,
 2969, 4347,21735,
 3014, 4515,22575,
 3049, 4682,23412,
 3074, 4849,24247,
 3087, 5015,25074,
 3090, 5180,25902,
 3085, 5344,26722,
 5028, 3256, 1149,
 3577, 3334, 1177,
 3163, 3403, 1201,
 2983, 3469, 1224,
 2873, 3547, 1252,
 2827, 3626,21758,
 2819, 3706,22236,
 2838, 3793,22758,
 2899, 3929,23577,
 2960, 4073,24437,
 3013, 4214,25282,
 3057, 4353,26117,
